scientificName,commonName,taxon,leadOffice,status
Distocambarus devexus,Broad River Burrowing crayfish,Crayfish,Jackson,Petitioned
Distocambarus youngineri,Saluda crayfish,Crayfish,Jackson,Petitioned
Fallicambarus danielae,[Unnamed] crayfish,Crayfish,Jackson,Petitioned
Cambarus jezerinaci,Spiny Scale crayfish,Crayfish,Region 5,Petitioned
Eriocaulon nigrobracteatum,Blackbract pipewort,Vascular Plant,Panama City,Petitioned
Illicium parviflorum,Yellow Anisetree,Vascular Plant,Jacksonville,Petitioned
Boltonia montana,Doll's-Daisy,Vascular Plant,Region 5,Petitioned
Calamovilfa arcuata,[Unnamed] sand grass,Vascular Plant,Region 2,Petitioned
Carex brysonii,Bryson's Sedge,Vascular Plant,Daphne,Petitioned
Carex impressinervia,[Unnamed] sedge,Vascular Plant,Jackson,Petitioned
Coreopsis integrifolia,Ciliate-leaf Tickseed,Vascular Plant,Athens,Petitioned
Croton elliottii,Elliott's Croton,Vascular Plant,Athens,Petitioned
Elytraria caroliniensis var. angustifolia,Narrowleaf Carolina scalystem,Vascular Plant,South Florida,Petitioned
Encyclia cochleata var. triandra,Clam-shell Orchid,Vascular Plant,South Florida,Petitioned
Baptisia megacarpa,Apalachicola Wild Indigo,Vascular Plant,Daphne,Petitioned
Eriocaulon kornickianum,Small-Headed pipewort,Vascular Plant,Region 4,Petitioned
Balduina atropurpurea,Purpledisk honeycombhead,Vascular Plant,Athens,Petitioned
Eupatorium paludicola,No Common Name (Bay Boneset),Vascular Plant,Raleigh,Petitioned
Eurybia saxicastellii,Rockcastle Wood-Aster,Vascular Plant,Frankfort,Petitioned
Fimbristylis perpusilla,Harper's fimbristylis,Vascular Plant,Region 4,Petitioned
Forestiera godfreyi,Godfrey's Privet,Vascular Plant,Jacksonville,Petitioned
Hartwrightia floridana,Hartwrightia,Vascular Plant,Jacksonville,Petitioned
Helianthus occidentalis ssp. plantagineus,Shinner's Sunflower,Vascular Plant,Region 2,Petitioned
Hexastylis speciosa,Harper's Heartleaf,Vascular Plant,Daphne,Petitioned
Hymenocallis henryae,Henry's spider-lily,Vascular Plant,Panama City,Petitioned
Hypericum edisonianum,Edison's Ascyrum,Vascular Plant,South Florida,Petitioned
Lithasia curta,Knobby rocksnail,Snail,Cookeville,Petitioned
Epidendrum strobiliferum,Big Cypress Epidendrum,Vascular Plant,South Florida,Petitioned
Allocapnia brooksi,Sevier snowfly,Stonefly,Cookeville,Petitioned
Lithasia duttoniana,Helmet rocksnail,Snail,Cookeville,Petitioned
lo fluvialis,Spiny riversnail,Snail,Cookeville,Petitioned
Pyrgulopsis agarhecta,Ocmulgee marstonia,Snail,Athens,Petitioned
Pyrgulopsis castor,Beaver pond marstonia,Snail,Athens,Petitioned
Pyrgulopsis ozarkensis,Ozark pyrg,Snail,Arkansas,Petitioned
Pleurocera corpulenta,Corpulent hornsnail,Snail,Cookeville,Petitioned
Pleurocera curta,Shortspire hornsnail,Snail,Cookeville,Petitioned
Pleurocera pyrenella,Skirted hornsnail,Snail,Athens,Petitioned
Rhodacmea elatior,Domed ancylid,Snail,Cookeville,Petitioned
Bartonia texana,Texas Screwstem,Vascular Plant,Region 2,Petitioned
Acroneuria kosztarabi,Virginia stone,Stonefly,Region 5,Petitioned
